CommitId;RefactoringType;RefactoringDetail
c8d646ebf857a676a6b682b5e78d382c52b8c5ab;Rename Method;Rename Method	public clearOnDetach_afterLoadClearedAndRestarted_onAttach_beingsREquest() : void renamed to public clearOnDetach_afterLoadClearedAndRestarted_onAttach_beginsRequest() : void in class com.bumptech.glide.request.target.CustomViewTargetTest
ac2598897ee222be192c54b00bc6b805d3ffa0ef;Rename Parameter;Rename Parameter	testClass : Class<?> to test : CompilationProvider in method public RegenerateResourcesRule(test CompilationProvider) in class com.bumptech.glide.annotation.compiler.test.RegenerateResourcesRule
ac2598897ee222be192c54b00bc6b805d3ffa0ef;Change Parameter Type;Change Parameter Type	testClass : Class<?> to test : CompilationProvider in method public RegenerateResourcesRule(test CompilationProvider) in class com.bumptech.glide.annotation.compiler.test.RegenerateResourcesRule
ac2598897ee222be192c54b00bc6b805d3ffa0ef;Change Parameter Type;Change Parameter Type	e : ComparisonFailure to e : AssertionError in method private updateResourceFile(e AssertionError, projectDirectory String, description Description) : void in class com.bumptech.glide.annotation.compiler.test.RegenerateResourcesRule
ac2598897ee222be192c54b00bc6b805d3ffa0ef;Change Parameter Type;Change Parameter Type	e : ComparisonFailure to e : AssertionError in method private parseFileNameFromMessage(e AssertionError) : String in class com.bumptech.glide.annotation.compiler.test.RegenerateResourcesRule
ac2598897ee222be192c54b00bc6b805d3ffa0ef;Change Variable Type;Change Variable Type	e : ComparisonFailure to e : AssertionError in method public apply(base Statement, description Description) : Statement in class com.bumptech.glide.annotation.compiler.test.RegenerateResourcesRule
ac2598897ee222be192c54b00bc6b805d3ffa0ef;Rename Attribute;Rename Attribute	testClass : Class<?> to test : CompilationProvider in class com.bumptech.glide.annotation.compiler.test.RegenerateResourcesRule
ac2598897ee222be192c54b00bc6b805d3ffa0ef;Change Attribute Type;Change Attribute Type	testClass : Class<?> to test : CompilationProvider in class com.bumptech.glide.annotation.compiler.test.RegenerateResourcesRule
312c993b3e81735e543d3961d12a12cefa8c304a;Change Attribute Type;Change Attribute Type	target : BaseTarget<Drawable> to target : CustomTarget<Drawable> in class com.bumptech.glide.RequestManagerTest
ad0255084fe1d7fde9b3ada6d4d5d80059df1362;Change Attribute Type;Change Attribute Type	tagId : Integer to tagId : int in class com.bumptech.glide.request.target.ViewTarget
342b5faae9451f7c609cf83269cddc3a5d170e83;Extract Method;Extract Method	private setBitmap(bitmap Bitmap) : void extracted from public onResourceReady(resource Bitmap, transition Transition<? super Bitmap>) : void in class com.bumptech.glide.request.target.NotificationTarget
342b5faae9451f7c609cf83269cddc3a5d170e83;Rename Parameter;Rename Parameter	resource : Bitmap to bitmap : Bitmap in method private setBitmap(bitmap Bitmap) : void in class com.bumptech.glide.request.target.NotificationTarget
342b5faae9451f7c609cf83269cddc3a5d170e83;Extract And Move Method;Extract And Move Method	private setBitmap(bitmap Bitmap) : void extracted from public onResourceReady(resource Bitmap, transition Transition<? super Bitmap>) : void in class com.bumptech.glide.request.target.AppWidgetTarget & moved to class com.bumptech.glide.request.target.NotificationTarget
fa7cb2f52d388497411204419bdb88006f1b0e17;Rename Parameter;Rename Parameter	defaultRequestOptions : RequestOptions to defaultRequestOptionsFactory : RequestOptionsFactory in method package Glide(context Context, engine Engine, memoryCache MemoryCache, bitmapPool BitmapPool, arrayPool ArrayPool, requestManagerRetriever RequestManagerRetriever, connectivityMonitorFactory ConnectivityMonitorFactory, logLevel int, defaultRequestOptionsFactory RequestOptionsFactory, defaultTransitionOptions Map<Class<?>,TransitionOptions<?,?>>, defaultRequestListeners List<RequestListener<Object>>, isLoggingRequestOriginsEnabled boolean) in class com.bumptech.glide.Glide
fa7cb2f52d388497411204419bdb88006f1b0e17;Change Parameter Type;Change Parameter Type	defaultRequestOptions : RequestOptions to defaultRequestOptionsFactory : RequestOptionsFactory in method package Glide(context Context, engine Engine, memoryCache MemoryCache, bitmapPool BitmapPool, arrayPool ArrayPool, requestManagerRetriever RequestManagerRetriever, connectivityMonitorFactory ConnectivityMonitorFactory, logLevel int, defaultRequestOptionsFactory RequestOptionsFactory, defaultTransitionOptions Map<Class<?>,TransitionOptions<?,?>>, defaultRequestListeners List<RequestListener<Object>>, isLoggingRequestOriginsEnabled boolean) in class com.bumptech.glide.Glide
fa7cb2f52d388497411204419bdb88006f1b0e17;Extract Method;Extract Method	public setDefaultRequestOptions(factory RequestOptionsFactory) : GlideBuilder extracted from public setDefaultRequestOptions(requestOptions RequestOptions) : GlideBuilder in class com.bumptech.glide.GlideBuilder
fa7cb2f52d388497411204419bdb88006f1b0e17;Rename Attribute;Rename Attribute	defaultRequestOptions : RequestOptions to defaultRequestOptionsFactory : RequestOptionsFactory in class com.bumptech.glide.GlideBuilder
fa7cb2f52d388497411204419bdb88006f1b0e17;Change Attribute Type;Change Attribute Type	defaultRequestOptions : RequestOptions to defaultRequestOptionsFactory : RequestOptionsFactory in class com.bumptech.glide.GlideBuilder
fa7cb2f52d388497411204419bdb88006f1b0e17;Rename Parameter;Rename Parameter	defaultRequestOptions : RequestOptions to defaultRequestOptionsFactory : RequestOptionsFactory in method public GlideContext(context Context, arrayPool ArrayPool, registry Registry, imageViewTargetFactory ImageViewTargetFactory, defaultRequestOptionsFactory RequestOptionsFactory, defaultTransitionOptions Map<Class<?>,TransitionOptions<?,?>>, defaultRequestListeners List<RequestListener<Object>>, engine Engine, isLoggingRequestOriginsEnabled boolean, logLevel int) in class com.bumptech.glide.GlideContext
fa7cb2f52d388497411204419bdb88006f1b0e17;Change Parameter Type;Change Parameter Type	defaultRequestOptions : RequestOptions to defaultRequestOptionsFactory : RequestOptionsFactory in method public GlideContext(context Context, arrayPool ArrayPool, registry Registry, imageViewTargetFactory ImageViewTargetFactory, defaultRequestOptionsFactory RequestOptionsFactory, defaultTransitionOptions Map<Class<?>,TransitionOptions<?,?>>, defaultRequestListeners List<RequestListener<Object>>, engine Engine, isLoggingRequestOriginsEnabled boolean, logLevel int) in class com.bumptech.glide.GlideContext
53438b90f982d27652c2bae7cd9daf9be8d5a03a;Rename Parameter;Rename Parameter	listener : EngineJobListener to engineJobListener : EngineJobListener in method package EngineJobFactory(diskCacheExecutor GlideExecutor, sourceExecutor GlideExecutor, sourceUnlimitedExecutor GlideExecutor, animationExecutor GlideExecutor, engineJobListener EngineJobListener, resourceListener ResourceListener) in class com.bumptech.glide.load.engine.Engine.EngineJobFactory
53438b90f982d27652c2bae7cd9daf9be8d5a03a;Rename Attribute;Rename Attribute	listener : EngineJobListener to resourceListener : ResourceListener in class com.bumptech.glide.load.engine.Engine.EngineJobFactory
53438b90f982d27652c2bae7cd9daf9be8d5a03a;Change Attribute Type;Change Attribute Type	listener : EngineJobListener to resourceListener : ResourceListener in class com.bumptech.glide.load.engine.Engine.EngineJobFactory
53438b90f982d27652c2bae7cd9daf9be8d5a03a;Rename Parameter;Rename Parameter	listener : EngineJobListener to engineJobListener : EngineJobListener in method package EngineJob(diskCacheExecutor GlideExecutor, sourceExecutor GlideExecutor, sourceUnlimitedExecutor GlideExecutor, animationExecutor GlideExecutor, engineJobListener EngineJobListener, resourceListener ResourceListener, pool Pools.Pool<EngineJob<?>>) in class com.bumptech.glide.load.engine.EngineJob
53438b90f982d27652c2bae7cd9daf9be8d5a03a;Rename Parameter;Rename Parameter	listener : EngineJobListener to engineJobListener : EngineJobListener in method package EngineJob(diskCacheExecutor GlideExecutor, sourceExecutor GlideExecutor, sourceUnlimitedExecutor GlideExecutor, animationExecutor GlideExecutor, engineJobListener EngineJobListener, resourceListener ResourceListener, pool Pools.Pool<EngineJob<?>>, engineResourceFactory EngineResourceFactory) in class com.bumptech.glide.load.engine.EngineJob
53438b90f982d27652c2bae7cd9daf9be8d5a03a;Split Parameter;Split Parameter	listener : EngineJobListener to [engineJobListener : EngineJobListener, resourceListener : ResourceListener] in method package EngineJob(diskCacheExecutor GlideExecutor, sourceExecutor GlideExecutor, sourceUnlimitedExecutor GlideExecutor, animationExecutor GlideExecutor, engineJobListener EngineJobListener, resourceListener ResourceListener, pool Pools.Pool<EngineJob<?>>) in class com.bumptech.glide.load.engine.EngineJob
53438b90f982d27652c2bae7cd9daf9be8d5a03a;Split Attribute;Split Attribute	listener : EngineJobListener to [engineJobListener : EngineJobListener, resourceListener : ResourceListener] in class com.bumptech.glide.load.engine.EngineJob
53438b90f982d27652c2bae7cd9daf9be8d5a03a;Rename Parameter;Rename Parameter	isCacheable : boolean to isMemoryCacheable : boolean in method package EngineResource(toWrap Resource<Z>, isMemoryCacheable boolean, isRecyclable boolean, key Key, listener ResourceListener) in class com.bumptech.glide.load.engine.EngineResource
53438b90f982d27652c2bae7cd9daf9be8d5a03a;Rename Method;Rename Method	package isCacheable() : boolean renamed to package isMemoryCacheable() : boolean in class com.bumptech.glide.load.engine.EngineResource
53438b90f982d27652c2bae7cd9daf9be8d5a03a;Rename Attribute;Rename Attribute	isCacheable : boolean to isMemoryCacheable : boolean in class com.bumptech.glide.load.engine.EngineResource
53438b90f982d27652c2bae7cd9daf9be8d5a03a;Extract Method;Extract Method	private newCacheableEngineResource() : EngineResource<Object> extracted from public get_withActiveKey_returnsResource() : void in class com.bumptech.glide.load.engine.ActiveResourcesTest
53438b90f982d27652c2bae7cd9daf9be8d5a03a;Extract Method;Extract Method	private newCacheableEngineResource() : EngineResource<Object> extracted from public get_withDeactivatedKey_returnsNull() : void in class com.bumptech.glide.load.engine.ActiveResourcesTest
53438b90f982d27652c2bae7cd9daf9be8d5a03a;Extract Method;Extract Method	private newCacheableEngineResource() : EngineResource<Object> extracted from public get_withActiveAndClearedKey_returnsNull() : void in class com.bumptech.glide.load.engine.ActiveResourcesTest
53438b90f982d27652c2bae7cd9daf9be8d5a03a;Extract Method;Extract Method	private newCacheableEngineResource() : EngineResource<Object> extracted from public get_withActiveAndClearedKey_andCacheableResource_callsListenerWithWrappedResource() : void in class com.bumptech.glide.load.engine.ActiveResourcesTest
53438b90f982d27652c2bae7cd9daf9be8d5a03a;Extract Method;Extract Method	private newCacheableEngineResource() : EngineResource<Object> extracted from public get_withActiveAndClearedKey_andCacheableResource_callsListenerWithNotRecycleable() : void in class com.bumptech.glide.load.engine.ActiveResourcesTest
53438b90f982d27652c2bae7cd9daf9be8d5a03a;Extract Method;Extract Method	private newCacheableEngineResource() : EngineResource<Object> extracted from public get_withActiveAndClearedKey_andCacheableResource_callsListenerWithCacheable() : void in class com.bumptech.glide.load.engine.ActiveResourcesTest
53438b90f982d27652c2bae7cd9daf9be8d5a03a;Extract Method;Extract Method	private newCacheableEngineResource() : EngineResource<Object> extracted from public queueIdle_afterResourceRemovedFromActive_doesNotCallListener() : void in class com.bumptech.glide.load.engine.ActiveResourcesTest
53438b90f982d27652c2bae7cd9daf9be8d5a03a;Extract Method;Extract Method	private newCacheableEngineResource() : EngineResource<Object> extracted from public queueIdle_withCacheableResourceInActive_callListener() : void in class com.bumptech.glide.load.engine.ActiveResourcesTest
53438b90f982d27652c2bae7cd9daf9be8d5a03a;Extract Method;Extract Method	private newCacheableEngineResource() : EngineResource<Object> extracted from public queueIdle_withCacheableResourceInActive_removesResourceFromActive() : void in class com.bumptech.glide.load.engine.ActiveResourcesTest
53438b90f982d27652c2bae7cd9daf9be8d5a03a;Extract Method;Extract Method	private newCacheableEngineResource() : EngineResource<Object> extracted from public get_withQueuedReference_returnsResource() : void in class com.bumptech.glide.load.engine.ActiveResourcesTest
53438b90f982d27652c2bae7cd9daf9be8d5a03a;Extract Method;Extract Method	private newCacheableEngineResource() : EngineResource<Object> extracted from public get_withQueuedReference_doesNotNotifyListener() : void in class com.bumptech.glide.load.engine.ActiveResourcesTest
53438b90f982d27652c2bae7cd9daf9be8d5a03a;Extract Method;Extract Method	private newCacheableEngineResource() : EngineResource<Object> extracted from public queueIdle_withQueuedReferenceRetrievedFromGet_notifiesListener() : void in class com.bumptech.glide.load.engine.ActiveResourcesTest
53438b90f982d27652c2bae7cd9daf9be8d5a03a;Extract Method;Extract Method	private newCacheableEngineResource() : EngineResource<Object> extracted from public queueIdle_withQueuedReferenceDeactivated_doesNotNotifyListener() : void in class com.bumptech.glide.load.engine.ActiveResourcesTest
53438b90f982d27652c2bae7cd9daf9be8d5a03a;Extract Method;Extract Method	private newCacheableEngineResource() : EngineResource<Object> extracted from public queueIdle_afterReferenceQueuedThenReactivated_doesNotNotifyListener() : void in class com.bumptech.glide.load.engine.ActiveResourcesTest
53438b90f982d27652c2bae7cd9daf9be8d5a03a;Extract Method;Extract Method	private newCacheableEngineResource() : EngineResource<Object> extracted from public get_withActiveClearedKey_cacheableResource_retentionDisabled_doesNotCallListener() : void in class com.bumptech.glide.load.engine.ActiveResourcesTest
53438b90f982d27652c2bae7cd9daf9be8d5a03a;Extract Method;Extract Method	private newCacheableEngineResource() : EngineResource<Object> extracted from public get_withQueuedReference_retentionDisabled_returnsResource() : void in class com.bumptech.glide.load.engine.ActiveResourcesTest
53438b90f982d27652c2bae7cd9daf9be8d5a03a;Extract Method;Extract Method	private newCacheableEngineResource() : EngineResource<Object> extracted from public queueIdle_withQueuedReferenceRetrievedFromGet_retentionDisabled_doesNotNotify() : void in class com.bumptech.glide.load.engine.ActiveResourcesTest
53438b90f982d27652c2bae7cd9daf9be8d5a03a;Extract Method;Extract Method	private newNonCacheableEngineResource() : EngineResource<Object> extracted from public get_withActiveAndClearedKey_andNotCacheableResource_doesNotCallListener() : void in class com.bumptech.glide.load.engine.ActiveResourcesTest
53438b90f982d27652c2bae7cd9daf9be8d5a03a;Extract Method;Extract Method	private newNonCacheableEngineResource() : EngineResource<Object> extracted from public queueIdle_withNotCacheableResourceInActive_doesNotCallListener() : void in class com.bumptech.glide.load.engine.ActiveResourcesTest
53438b90f982d27652c2bae7cd9daf9be8d5a03a;Extract Method;Extract Method	private newNonCacheableEngineResource() : EngineResource<Object> extracted from public queueIdle_withNotCacheableResourceInActive_removesResourceFromActive() : void in class com.bumptech.glide.load.engine.ActiveResourcesTest
53438b90f982d27652c2bae7cd9daf9be8d5a03a;Extract Method;Extract Method	private newNonCacheableEngineResource() : EngineResource<Object> extracted from public queueIdle_withQueuedReferenceRetrievedFromGetAndNotCacheable_doesNotNotifyListener() : void in class com.bumptech.glide.load.engine.ActiveResourcesTest
53438b90f982d27652c2bae7cd9daf9be8d5a03a;Extract Method;Extract Method	private newNonCacheableEngineResource() : EngineResource<Object> extracted from public activate_withNonCacheableResource_doesNotSaveResource() : void in class com.bumptech.glide.load.engine.ActiveResourcesTest
53438b90f982d27652c2bae7cd9daf9be8d5a03a;Rename Attribute;Rename Attribute	listener : EngineJobListener to engineJobListener : EngineJobListener in class com.bumptech.glide.load.engine.EngineJobTest.EngineJobHarness
53438b90f982d27652c2bae7cd9daf9be8d5a03a;Rename Attribute;Rename Attribute	listener : EngineJobListener to engineJobListener : EngineJobListener in class com.bumptech.glide.load.engine.Engine.EngineJobFactory
c6ffb0460de4a5b51db5b2f9fd5c0b697cb51486;Rename Parameter;Rename Parameter	value0 : int to width : int in method public overrideOf(width int, height int) : GlideOptions in class com.bumptech.glide.test.GlideOptions
c6ffb0460de4a5b51db5b2f9fd5c0b697cb51486;Rename Parameter;Rename Parameter	value1 : int to height : int in method public overrideOf(width int, height int) : GlideOptions in class com.bumptech.glide.test.GlideOptions
c6ffb0460de4a5b51db5b2f9fd5c0b697cb51486;Rename Parameter;Rename Parameter	value : int to size : int in method public overrideOf(size int) : GlideOptions in class com.bumptech.glide.test.GlideOptions
c6ffb0460de4a5b51db5b2f9fd5c0b697cb51486;Rename Parameter;Rename Parameter	value0 : int to width : int in method public overrideOf(width int, height int) : GlideOptions in class com.bumptech.glide.test.GlideOptions
c6ffb0460de4a5b51db5b2f9fd5c0b697cb51486;Rename Parameter;Rename Parameter	value1 : int to height : int in method public overrideOf(width int, height int) : GlideOptions in class com.bumptech.glide.test.GlideOptions
c6ffb0460de4a5b51db5b2f9fd5c0b697cb51486;Rename Parameter;Rename Parameter	value : int to size : int in method public overrideOf(size int) : GlideOptions in class com.bumptech.glide.test.GlideOptions
c6ffb0460de4a5b51db5b2f9fd5c0b697cb51486;Rename Parameter;Rename Parameter	value0 : int to width : int in method public overrideOf(width int, height int) : GlideOptions in class com.bumptech.glide.test.GlideOptions
c6ffb0460de4a5b51db5b2f9fd5c0b697cb51486;Rename Parameter;Rename Parameter	value1 : int to height : int in method public overrideOf(width int, height int) : GlideOptions in class com.bumptech.glide.test.GlideOptions
c6ffb0460de4a5b51db5b2f9fd5c0b697cb51486;Rename Parameter;Rename Parameter	value : int to size : int in method public overrideOf(size int) : GlideOptions in class com.bumptech.glide.test.GlideOptions
c6ffb0460de4a5b51db5b2f9fd5c0b697cb51486;Rename Parameter;Rename Parameter	value : int to size : int in method public overrideOf(size int) : GlideOptions in class com.bumptech.glide.test.GlideOptions
c6ffb0460de4a5b51db5b2f9fd5c0b697cb51486;Rename Parameter;Rename Parameter	value0 : int to width : int in method public overrideOf(width int, height int) : GlideOptions in class com.bumptech.glide.test.GlideOptions
c6ffb0460de4a5b51db5b2f9fd5c0b697cb51486;Rename Parameter;Rename Parameter	value1 : int to height : int in method public overrideOf(width int, height int) : GlideOptions in class com.bumptech.glide.test.GlideOptions
c6ffb0460de4a5b51db5b2f9fd5c0b697cb51486;Rename Parameter;Rename Parameter	value : int to size : int in method public overrideOf(size int) : GlideOptions in class com.bumptech.glide.test.GlideOptions
c6ffb0460de4a5b51db5b2f9fd5c0b697cb51486;Rename Parameter;Rename Parameter	value0 : int to width : int in method public overrideOf(width int, height int) : GlideOptions in class com.bumptech.glide.test.GlideOptions
c6ffb0460de4a5b51db5b2f9fd5c0b697cb51486;Rename Parameter;Rename Parameter	value1 : int to height : int in method public overrideOf(width int, height int) : GlideOptions in class com.bumptech.glide.test.GlideOptions
c6ffb0460de4a5b51db5b2f9fd5c0b697cb51486;Rename Parameter;Rename Parameter	value : int to size : int in method public overrideOf(size int) : GlideOptions in class com.bumptech.glide.test.GlideOptions
c6ffb0460de4a5b51db5b2f9fd5c0b697cb51486;Rename Parameter;Rename Parameter	value0 : int to width : int in method public overrideOf(width int, height int) : GlideOptions in class com.bumptech.glide.test.GlideOptions
c6ffb0460de4a5b51db5b2f9fd5c0b697cb51486;Rename Parameter;Rename Parameter	value1 : int to height : int in method public overrideOf(width int, height int) : GlideOptions in class com.bumptech.glide.test.GlideOptions
c6ffb0460de4a5b51db5b2f9fd5c0b697cb51486;Rename Parameter;Rename Parameter	value : int to size : int in method public overrideOf(size int) : GlideOptions in class com.bumptech.glide.test.GlideOptions
c6ffb0460de4a5b51db5b2f9fd5c0b697cb51486;Rename Parameter;Rename Parameter	value0 : int to width : int in method public overrideOf(width int, height int) : GlideOptions in class com.bumptech.glide.test.GlideOptions
c6ffb0460de4a5b51db5b2f9fd5c0b697cb51486;Rename Parameter;Rename Parameter	value1 : int to height : int in method public overrideOf(width int, height int) : GlideOptions in class com.bumptech.glide.test.GlideOptions
c6ffb0460de4a5b51db5b2f9fd5c0b697cb51486;Rename Parameter;Rename Parameter	value : int to size : int in method public overrideOf(size int) : GlideOptions in class com.bumptech.glide.test.GlideOptions
c6ffb0460de4a5b51db5b2f9fd5c0b697cb51486;Rename Parameter;Rename Parameter	value0 : int to width : int in method public overrideOf(width int, height int) : GlideOptions in class com.bumptech.glide.test.GlideOptions
c6ffb0460de4a5b51db5b2f9fd5c0b697cb51486;Rename Parameter;Rename Parameter	value1 : int to height : int in method public overrideOf(width int, height int) : GlideOptions in class com.bumptech.glide.test.GlideOptions
c6ffb0460de4a5b51db5b2f9fd5c0b697cb51486;Rename Parameter;Rename Parameter	value : int to size : int in method public overrideOf(size int) : GlideOptions in class com.bumptech.glide.test.GlideOptions
c33d28eb62b62a54b633296580f690e7352f8f14;Inline Variable;Inline Variable	localKey : Key in method package cancel() : void from class com.bumptech.glide.load.engine.EngineJob
c528928503acfa57d353a62cc64c3d7fc0717d10;Change Return Type;Change Return Type	Bitmap to byte[] in method package encode() : byte[] in class com.bumptech.glide.load.resource.bitmap.BitmapEncoderTest.EncoderHarness
c528928503acfa57d353a62cc64c3d7fc0717d10;Change Return Type;Change Return Type	Bitmap to byte[] in method package getTranscodeResult() : byte[] in class com.bumptech.glide.load.resource.transcode.BitmapBytesTranscoderTest.BitmapBytesTranscoderHarness
c528928503acfa57d353a62cc64c3d7fc0717d10;Rename Method;Rename Method	package getTranscodedDescription() : Bitmap renamed to package getTranscodeResult() : byte[] in class com.bumptech.glide.load.resource.transcode.BitmapBytesTranscoderTest.BitmapBytesTranscoderHarness
e2df4d068840ea04b9e448347f062b964eb0b0b7;Rename Method;Rename Method	private getContextForPackage(source Uri, packageName String) : Context renamed to private findContextForPackage(source Uri, packageName String) : Context in class com.bumptech.glide.load.resource.drawable.ResourceDrawableDecoder
e2df4d068840ea04b9e448347f062b964eb0b0b7;Rename Method;Rename Method	private loadResourceIdFromUri(source Uri) : int renamed to private findResourceIdFromUri(context Context, source Uri) : int in class com.bumptech.glide.load.resource.drawable.ResourceDrawableDecoder
e2df4d068840ea04b9e448347f062b964eb0b0b7;Extract Method;Extract Method	private findResourceIdFromTypeAndNameResourceUri(context Context, source Uri) : int extracted from private loadResourceIdFromUri(source Uri) : int in class com.bumptech.glide.load.resource.drawable.ResourceDrawableDecoder
8f1ea5c07dff7ade8c49c324bcb5a7f40d0b4891;Rename Parameter;Rename Parameter	backgroundRequestOrigin : Exception to callbackExecutor : Executor in method private buildRequestRecursive(target Target<TranscodeType>, targetListener RequestListener<TranscodeType>, parentCoordinator RequestCoordinator, transitionOptions TransitionOptions<?,? super TranscodeType>, priority Priority, overrideWidth int, overrideHeight int, requestOptions BaseRequestOptions<?>, callbackExecutor Executor) : Request in class com.bumptech.glide.RequestBuilder
8f1ea5c07dff7ade8c49c324bcb5a7f40d0b4891;Change Parameter Type;Change Parameter Type	backgroundRequestOrigin : Exception to callbackExecutor : Executor in method private buildRequestRecursive(target Target<TranscodeType>, targetListener RequestListener<TranscodeType>, parentCoordinator RequestCoordinator, transitionOptions TransitionOptions<?,? super TranscodeType>, priority Priority, overrideWidth int, overrideHeight int, requestOptions BaseRequestOptions<?>, callbackExecutor Executor) : Request in class com.bumptech.glide.RequestBuilder
8f1ea5c07dff7ade8c49c324bcb5a7f40d0b4891;Rename Parameter;Rename Parameter	backgroundRequestOrigin : Exception to callbackExecutor : Executor in method private buildThumbnailRequestRecursive(target Target<TranscodeType>, targetListener RequestListener<TranscodeType>, parentCoordinator RequestCoordinator, transitionOptions TransitionOptions<?,? super TranscodeType>, priority Priority, overrideWidth int, overrideHeight int, requestOptions BaseRequestOptions<?>, callbackExecutor Executor) : Request in class com.bumptech.glide.RequestBuilder
8f1ea5c07dff7ade8c49c324bcb5a7f40d0b4891;Change Parameter Type;Change Parameter Type	backgroundRequestOrigin : Exception to callbackExecutor : Executor in method private buildThumbnailRequestRecursive(target Target<TranscodeType>, targetListener RequestListener<TranscodeType>, parentCoordinator RequestCoordinator, transitionOptions TransitionOptions<?,? super TranscodeType>, priority Priority, overrideWidth int, overrideHeight int, requestOptions BaseRequestOptions<?>, callbackExecutor Executor) : Request in class com.bumptech.glide.RequestBuilder
8f1ea5c07dff7ade8c49c324bcb5a7f40d0b4891;Rename Parameter;Rename Parameter	backgroundRequestOrigin : Exception to callbackExecutor : Executor in method private obtainRequest(target Target<TranscodeType>, targetListener RequestListener<TranscodeType>, requestOptions BaseRequestOptions<?>, requestCoordinator RequestCoordinator, transitionOptions TransitionOptions<?,? super TranscodeType>, priority Priority, overrideWidth int, overrideHeight int, callbackExecutor Executor) : Request in class com.bumptech.glide.RequestBuilder
